date_id,date,year,quarter,month,day,iso_week,iso_dow,is_weekend,is_month_start,is_month_end
20200829,2020-08-29,2020,3,8,29,35,6,True,False,False
20200830,2020-08-30,2020,3,8,30,35,7,True,False,False
20200831,2020-08-31,2020,3,8,31,36,1,False,False,True
20200901,2020-09-01,2020,3,9,1,36,2,False,True,False
20200902,2020-09-02,2020,3,9,2,36,3,False,False,False
20200903,2020-09-03,2020,3,9,3,36,4,False,False,False
20200904,2020-09-04,2020,3,9,4,36,5,False,False,False
20200905,2020-09-05,2020,3,9,5,36,6,True,False,False
20200906,2020-09-06,2020,3,9,6,36,7,True,False,False
20200907,2020-09-07,2020,3,9,7,37,1,False,False,False
20200908,2020-09-08,2020,3,9,8,37,2,False,False,False
20200909,2020-09-09,2020,3,9,9,37,3,False,False,False
20200910,2020-09-10,2020,3,9,10,37,4,False,False,False
20200911,2020-09-11,2020,3,9,11,37,5,False,False,False
20200912,2020-09-12,2020,3,9,12,37,6,True,False,False
20200913,2020-09-13,2020,3,9,13,37,7,True,False,False
20200914,2020-09-14,2020,3,9,14,38,1,False,False,False
20200915,2020-09-15,2020,3,9,15,38,2,False,False,False
20200916,2020-09-16,2020,3,9,16,38,3,False,False,False
20200917,2020-09-17,2020,3,9,17,38,4,False,False,False
20200918,2020-09-18,2020,3,9,18,38,5,False,False,False
20200919,2020-09-19,2020,3,9,19,38,6,True,False,False
20200920,2020-09-20,2020,3,9,20,38,7,True,False,False
20200921,2020-09-21,2020,3,9,21,39,1,False,False,False
20200922,2020-09-22,2020,3,9,22,39,2,False,False,False
20200923,2020-09-23,2020,3,9,23,39,3,False,False,False
20200924,2020-09-24,2020,3,9,24,39,4,False,False,False
20200925,2020-09-25,2020,3,9,25,39,5,False,False,False
20200926,2020-09-26,2020,3,9,26,39,6,True,False,False
20200927,2020-09-27,2020,3,9,27,39,7,True,False,False
20200928,2020-09-28,2020,3,9,28,40,1,False,False,False
20200929,2020-09-29,2020,3,9,29,40,2,False,False,False
20200930,2020-09-30,2020,3,9,30,40,3,False,False,True
20201001,2020-10-01,2020,4,10,1,40,4,False,True,False
20201002,2020-10-02,2020,4,10,2,40,5,False,False,False
20201003,2020-10-03,2020,4,10,3,40,6,True,False,False
20201004,2020-10-04,2020,4,10,4,40,7,True,False,False
20201005,2020-10-05,2020,4,10,5,41,1,False,False,False
20201006,2020-10-06,2020,4,10,6,41,2,False,False,False
20201007,2020-10-07,2020,4,10,7,41,3,False,False,False
20201008,2020-10-08,2020,4,10,8,41,4,False,False,False
20201009,2020-10-09,2020,4,10,9,41,5,False,False,False
20201010,2020-10-10,2020,4,10,10,41,6,True,False,False
20201011,2020-10-11,2020,4,10,11,41,7,True,False,False
20201012,2020-10-12,2020,4,10,12,42,1,False,False,False
20201013,2020-10-13,2020,4,10,13,42,2,False,False,False
20201014,2020-10-14,2020,4,10,14,42,3,False,False,False
20201015,2020-10-15,2020,4,10,15,42,4,False,False,False
20201016,2020-10-16,2020,4,10,16,42,5,False,False,False
20201017,2020-10-17,2020,4,10,17,42,6,True,False,False
20201018,2020-10-18,2020,4,10,18,42,7,True,False,False
20201019,2020-10-19,2020,4,10,19,43,1,False,False,False
20201020,2020-10-20,2020,4,10,20,43,2,False,False,False
20201021,2020-10-21,2020,4,10,21,43,3,False,False,False
20201022,2020-10-22,2020,4,10,22,43,4,False,False,False
20201023,2020-10-23,2020,4,10,23,43,5,False,False,False
20201024,2020-10-24,2020,4,10,24,43,6,True,False,False
20201025,2020-10-25,2020,4,10,25,43,7,True,False,False
20201026,2020-10-26,2020,4,10,26,44,1,False,False,False
20201027,2020-10-27,2020,4,10,27,44,2,False,False,False
20201028,2020-10-28,2020,4,10,28,44,3,False,False,False
20201029,2020-10-29,2020,4,10,29,44,4,False,False,False
20201030,2020-10-30,2020,4,10,30,44,5,False,False,False
20201031,2020-10-31,2020,4,10,31,44,6,True,False,True
20201101,2020-11-01,2020,4,11,1,44,7,True,True,False
20201102,2020-11-02,2020,4,11,2,45,1,False,False,False
20201103,2020-11-03,2020,4,11,3,45,2,False,False,False
20201104,2020-11-04,2020,4,11,4,45,3,False,False,False
20201105,2020-11-05,2020,4,11,5,45,4,False,False,False
20201106,2020-11-06,2020,4,11,6,45,5,False,False,False
20201107,2020-11-07,2020,4,11,7,45,6,True,False,False
20201108,2020-11-08,2020,4,11,8,45,7,True,False,False
20201109,2020-11-09,2020,4,11,9,46,1,False,False,False
20201110,2020-11-10,2020,4,11,10,46,2,False,False,False
20201111,2020-11-11,2020,4,11,11,46,3,False,False,False
20201112,2020-11-12,2020,4,11,12,46,4,False,False,False
20201113,2020-11-13,2020,4,11,13,46,5,False,False,False
20201114,2020-11-14,2020,4,11,14,46,6,True,False,False
20201115,2020-11-15,2020,4,11,15,46,7,True,False,False
20201116,2020-11-16,2020,4,11,16,47,1,False,False,False
20201117,2020-11-17,2020,4,11,17,47,2,False,False,False
20201118,2020-11-18,2020,4,11,18,47,3,False,False,False
20201119,2020-11-19,2020,4,11,19,47,4,False,False,False
20201120,2020-11-20,2020,4,11,20,47,5,False,False,False
20201121,2020-11-21,2020,4,11,21,47,6,True,False,False
20201122,2020-11-22,2020,4,11,22,47,7,True,False,False
20201123,2020-11-23,2020,4,11,23,48,1,False,False,False
20201124,2020-11-24,2020,4,11,24,48,2,False,False,False
20201125,2020-11-25,2020,4,11,25,48,3,False,False,False
20201126,2020-11-26,2020,4,11,26,48,4,False,False,False
20201127,2020-11-27,2020,4,11,27,48,5,False,False,False
20201128,2020-11-28,2020,4,11,28,48,6,True,False,False
20201129,2020-11-29,2020,4,11,29,48,7,True,False,False
20201130,2020-11-30,2020,4,11,30,49,1,False,False,True
20201201,2020-12-01,2020,4,12,1,49,2,False,True,False
20201202,2020-12-02,2020,4,12,2,49,3,False,False,False
20201203,2020-12-03,2020,4,12,3,49,4,False,False,False
20201204,2020-12-04,2020,4,12,4,49,5,False,False,False
20201205,2020-12-05,2020,4,12,5,49,6,True,False,False
20201206,2020-12-06,2020,4,12,6,49,7,True,False,False
20201207,2020-12-07,2020,4,12,7,50,1,False,False,False
20201208,2020-12-08,2020,4,12,8,50,2,False,False,False
20201209,2020-12-09,2020,4,12,9,50,3,False,False,False
20201210,2020-12-10,2020,4,12,10,50,4,False,False,False
20201211,2020-12-11,2020,4,12,11,50,5,False,False,False
20201212,2020-12-12,2020,4,12,12,50,6,True,False,False
20201213,2020-12-13,2020,4,12,13,50,7,True,False,False
20201214,2020-12-14,2020,4,12,14,51,1,False,False,False
